SiteID,Latitude,Longitude,2012-06-07,2012-06-12,2012-06-15,2012-06-17,2012-06-22,2012-06-23,2012-06-25,2012-06-27,2012-07-05,2012-07-08,2012-07-10,2012-07-13,2012-07-14
14,49.6839906155,-98.0491805419,0.17,0.197,0.182,0.207,0.19,0.187,0.178,0.173,0.152,0.151,0.144,0.196,0.171
31,49.7401074895,-97.9811485314,0.35,0.419,0.418,0.444,0.444,0.441,0.419,0.412,0.34,0.321,0.315,0.452,0.435
33,49.6810240478,-97.9386943328,0.37,0.382,0.386,0.408,0.401,0.379,0.349,0.32,0.308,0.3,0.295,0.288,0.289
34,49.6810317623,-97.9582665306,0.44,0.455,0.455,0.458,0.459,0.439,0.436,0.429,0.327,0.313,0.298,0.287,0.288
41,49.697837092,-97.9809274134,0.3,0.36,0.351,0.369,0.365,0.357,0.332,0.321,0.258,0.238,0.224,0.311,0.297
43,49.6788887248,-97.9615163797,0.18,0.297,0.259,0.296,0.277,0.253,0.208,0.181,0.145,0.143,0.141,0.135,0.135
45,49.6789939983,-97.9387704821,0.25,0.4,0.374,0.404,0.391,0.38,0.351,0.369,0.256,0.249,0.238,0.24,0.238
52,49.6417159901,-97.9809781383,0.19,0.226,0.218,0.231,0.21,0.209,0.208,0.195,0.131,0.118,0.11,0.101,0.1
53,49.6347833157,-97.9751921738,0.22,0.256,0.242,0.257,0.243,0.24,0.228,0.222,0.179,0.118,0.169,0.159,0.156
54,49.6222455681,-97.9753602897,0.26,0.276,0.268,0.3,0.275,0.274,0.273,0.271,0.23,0.175,0.226,0.218,0.216
55,49.6273386357,-97.8669121871,0.37,0.465,0.446,0.47,0.465,0.45,0.416,0.386,0.34,0.23,0.288,0.275,0.271
61,49.6052655676,-97.9809139075,0.15,0.176,0.147,0.171,0.114,0.106,0.098,0.096,0.124,0.102,0.097,0.094,0.094
63,49.6073707296,-97.9614756978,0.27,0.318,0.291,0.318,0.293,0.289,0.276,0.256,0.206,0.211,0.209,0.205,0.204
64,49.6199607447,-97.9615111071,0.28,0.31,0.297,0.31,0.297,0.297,0.287,0.282,0.246,0.249,0.246,0.227,0.224
71,49.5904160085,-97.9724797244,0.12,0.141,0.131,0.194,0.152,0.142,0.133,0.132,0.126,0.119,0.118,0.113,0.11
72,49.583201314,-97.9808356792,0.12,0.157,0.137,0.152,0.142,0.137,0.127,0.119,0.153,0.184,0.133,0.143,0.121
74,49.5630558533,-98.0080215,0.07,0.172,0.136,0.17,0.149,0.129,0.096,0.085,0.15,0.181,0.117,0.078,0.075
81,49.5604750579,-97.9730863262,0.11,0.165,0.12,0.186,0.162,0.137,0.114,0.111,0.132,0.174,0.109,0.094,0.093
82,49.5608949827,-98.0013664962,0.25,0.31,0.27,0.309,0.275,0.26,0.234,0.218,0.264,0.304,0.237,0.198,0.193
83,49.5608462025,-97.9840666084,0.37,0.395,0.383,0.389,0.344,0.385,0.377,0.369,0.327,0.378,0.332,0.292,0.287
84,49.5609789418,-97.9694928186,0.18,0.239,0.204,0.246,0.218,0.207,0.18,0.166,0.21,0.234,0.197,0.163,0.153
85,49.54074654,-97.9157880575,0.28,0.388,0.378,0.415,0.402,0.393,0.365,0.342,0.293,0.385,0.35,0.295,0.276
91,49.5331355792,-97.9723772381,0.05,0.151,0.131,0.155,0.155,0.14,0.115,0.097,0.132,0.133,0.105,0.124,0.108
94,49.5236564021,-97.9584111302,0.21,0.25,0.231,0.252,0.248,0.248,0.243,0.24,0.235,0.216,0.2,0.167,0.157
101,49.6773075835,-97.9026119626,0.33,0.381,0.381,0.208,0.375,0.365,0.324,0.262,0.197,0.2,0.198,0.19,0.191
104,49.637307244,-97.8900860102,0.26,0.377,0.359,0.395,0.387,0.368,0.325,0.301,0.275,0.269,0.264,0.261,0.259
112,49.592424333,-97.8931485259,0.4,0.408,0.41,0.42,0.412,0.409,0.403,0.404,0.376,0.355,0.326,0.293,0.287
113,49.5998278328,-97.8932710203,0.33,0.401,0.385,0.492,0.421,0.411,0.377,0.322,0.249,0.244,0.237,0.224,0.219
114,49.6016446033,-97.9353690708,0.23,0.282,0.264,0.348,0.289,0.273,0.229,0.202,0.203,0.178,0.166,0.157,0.154
122,49.4943024317,-97.8423643277,0.42,0.431,0.373,0.431,0.399,0.343,0.252,0.219,0.149,0.201,0.194,0.181,0.173
124,49.5038880722,-97.8759398182,0.3,0.329,0.303,0.33,0.318,0.309,0.294,0.286,0.267,0.266,0.261,0.255,0.255
